职位	薪资	工作经验	学历要求
测试工程师	1.5-2万/月	3-4年经验	本科
自动化测试	1-1.5万/月	2年经验	本科
大数据架构师	1.5-3万/月	5-7年经验	本科
图像算法工程师-人体姿态	1.5-2.5万/月	3-4年经验	本科
区块链算法工程师	1.8-3万/月	1年经验	硕士
PHP工程师	0.8-1万/月	在校生/应届生	大专
数据库工程师	1.5-2万/月	1年经验	本科
网络爬虫工程师	1-2万/月	1年经验	本科
QT/C++高级软件研发工程师	2-5万/月	1年经验	本科
数据分析师（数据统计、挖掘方向）	0.8-1.5万/月	1年经验	本科
风控算法工程师	1.5-2.5万/月	3-4年经验	本科
推荐算法高级研究员	2.5-3万/月	3-4年经验	本科
云高级售前工程师(014987)	2-2.5万/月	8-9年经验	本科
数据分析师	1-1.5万/月	无需经验	本科
Analog高级工程师	3-4万/月	8-9年经验	硕士
软件工程师（研发中心）（北京）	1.5-2万/月	2年经验	硕士
酒店业务培训生(北京)—2021届秋(J20792)	1-1.5万/月	在校生/应届生	本科
软件测试工程师	1-1.5万/月	3-4年经验	本科
高级前端开发工程师	1.5-1.8万/月	3-4年经验	本科
计算机视觉和机器学习工程师	1.5-2.5万/月	无需经验	硕士
自动化测试工程师	0.8-1.2万/月	3-4年经验	本科
BMC工程师	2-2.5万/月	3-4年经验	本科
DevOps工程师	1.2-1.8万/月	3-4年经验	本科
业务分析师	2-2.5万/月	5-7年经验	本科
深度学习工程师-帝派	1-1.5万/月	2年经验	本科
大数据分析师	0.8-1.6万/月	1年经验	硕士
图像算法工程师	2.5-3万/月	5-7年经验	本科
GO开发工程师	2-3.5万/月	2年经验	本科
运维工程师（直播）	0.8-1.2万/月	3-4年经验	大专
大数据分析工程师	1.5-3万/月	3-4年经验	大专
测试工程师	1.5-2万/月	3-4年经验	大专
Web前端开发工程师	1.5-3万/月	3-4年经验	本科
初级工程师	6-8千/月	在校生/应届生	本科
高级运维工程师	1.5-2.5万/月	3-4年经验	本科
高级生物信息学工程师	1-1.5万/月	3-4年经验	本科
高级运维工程师（W）	1.3-1.8万/月	3-4年经验	本科
