职位	薪资	工作经验	学历要求
大数据分析师（算法-ga-yj）	1.4-2.2万/月	3-4年经验	本科
大数据开发工程师（ga-yj-4年+）	1.4-1.9万/月	3-4年经验	本科
大数据架构师（ga）	2-3.5万/月	5-7年经验	本科
嵌入式软件工程师	1.5-2.5万/月	5-7年经验	本科
ETL开发工程师（北京）	1.1-1.5万/月	2年经验	本科
Java开发工程师	0.8-1.2万/月	3-4年经验	大专
Java高级开发工程师	0.8-1.2万/月	3-4年经验	大专
IC验证工程师/实习生（济南）	0.8-1.2万/月	无需经验	本科
语音识别工程师	3-4万/月	5-7年经验	本科
算法工程师	2.5-3万/月	5-7年经验	本科
运维工程师	2-2.5万/月	5-7年经验	本科
DBA数据库管理员	2-2.5万/月	5-7年经验	本科
测试经理	2.5-3万/月	5-7年经验	本科
运维工程师	2-3.5万/月	5-7年经验	大专
Linux C /C++ 研发工程师	1.5-2.5万/月	3-4年经验	本科
高级测试工程师 (MJ003907)	1.6-2.1万/月	5-7年经验	本科
高级测试开发工程师 (MJ003760)	2.5-3.5万/月	5-7年经验	本科
高级测试开发工程师（10212） (MJ003705)	2-3.3万/月	5-7年经验	本科
软件测试工程师	6-8千/月	1年经验	大专
网络运维工程师	0.6-1万/月	2年经验	大专
软件运维工程师	0.6-1万/月	2年经验	大专
D高级web商业产品测试工程师	1.2-2.2万/月	3-4年经验	本科
D测试开发工程师	1.5-2.5万/月	2年经验	本科
D持续集成工程师	1.2-2.2万/月	3-4年经验	本科
运维工程师	5-8千/月	2年经验	大专
.NET开发工程师	1-1.5万/月	3-4年经验	本科
mysql数据库工程师	1-1.5万/月	2年经验	大专
linux运维	1-1.5万/月	3-4年经验	大专
运维工程师-社招	1.5-3万/月	3-4年经验	本科
数据库开发工程师	1.5-3万/月	3-4年经验	硕士
大数据开发工程师	1.5-3万/月	5-7年经验	硕士
AI平台开发工程师	1.5-3万/月	2年经验	硕士
前端开发工程师	1.5-3万/月	3-4年经验	本科
安全攻防技术工程师	1.5-3万/月	2年经验	本科
大数据及AI建模研究员	1.5-3万/月	3-4年经验	硕士
软件架构工程师（Business Developer方向）	1.5-3万/月	5-7年经验	硕士
软件架构工程师（开源方向）	15-30万/年	5-7年经验	硕士
测试经理	1.5-3万/月	5-7年经验	本科
数字孪生研究员	20-40万/年	3-4年经验	硕士
系统架构师（区块链）	20-40万/年	3-4年经验	硕士
后端开发工程师（区块链）	20-40万/年	5-7年经验	本科
软件研发工程师	20-40万/年	3-4年经验	本科
解决方案经理（智能云）	1.5-3万/月	3-4年经验	本科
产品运营经理	1.5-3万/月	3-4年经验	本科
AI软件测试工程师	1.5-3万/月	2年经验	硕士
AI算法工程师（数据分析）	1.5-3万/月	2年经验	硕士
AI算法工程师（网络智能化）	1.5-3万/月	2年经验	硕士
AI算法工程师（视觉）	1.5-3万/月	2年经验	硕士
AI算法工程师（NLP）	1.5-3万/月	2年经验	硕士
AI算法工程师（语音）	1.5-3万/月	2年经验	硕士
高级软件工程师--高级全栈工程师	2.5-4万/月	5-7年经验	硕士
综合技术工程师（工业大数据）	20-30万/年	3-4年经验	本科
BI工程师	0.8-1.2万/月	1年经验	本科
中高级测试工程师	1.5-2.5万/月	3-4年经验	大专
安全咨询顾问（高级）(Web安全研究）	1-2万/月	5-7年经验	本科
自然语言算法工程师	2-7万/月	5-7年经验	硕士
高级数据工程师 (MJ004003)	2-3.5万/月	3-4年经验	本科
2021应届生-咨询顾问（信息安全）	0.6-1.2万/月	在校生/应届生	本科
2021应届生-算法工程师	0.6-1.2万/月	在校生/应届生	本科
2021应届生-数据分析工程师	0.6-1.2万/月	在校生/应届生	本科
JAVA开发工程师	1.5-3万/月	3-4年经验	本科
运维工程师	5-7千/月	1年经验	大专
安全工程师	1-1.5万/月	2年经验	大专
Linux kernel内存优化工程师-小米电视	2.5-3.5万/月	3-4年经验	本科
Linux kernel内存优化工程师-小米电视	2.5-3万/月	5-7年经验	本科
硬件自动化工程师--电视	1.5-2.5万/月	2年经验	本科
配置管理工程师-电视	1-2万/月	无需经验	本科
硬件自动化工程师--电视	2-3万/月	无需经验	本科
结构仿真工程师	2-4万/月	5-7年经验	本科
高级产品经理（质量系统，B端）	2-2.5万/月	3-4年经验	本科
高级产品经理（数据分析方向）	2-3.5万/月	3-4年经验	本科
视频测试专家	2-4万/月	5-7年经验	本科
测试系统架构工程师-北京	2-4万/月	8-9年经验	本科
专有云存储高级交付工程师	1.8-3万/月	5-7年经验	本科
PHP全栈工程师	3-4万/月	3-4年经验	本科
软件测试工程师	1.5-2.5万/月	5-7年经验	本科
图像算法研发岗-北京-子公司	0.8-1万/月	1年经验	硕士
校招-Web前端开发工程师（2020届应届生）	1.5-2.5万/月	在校生/应届生	本科
校招-Android开发工程师（2020届应届生）	1.5-2.5万/月	在校生/应届生	本科
校招-测试开发工程师（2021届）	4-5千/月	在校生/应届生	本科
校招-数据开发工程师（2021届）	4-5千/月	在校生/应届生	本科
数据仓库开发工程	2-3万/月	5-7年经验	本科
高级数据挖掘工程师	2-3万/月	3-4年经验	硕士
数据分析师-共享(J10578)	2.5-3万/月	5-7年经验	本科
高级信息安全工程师(J10807)	1.5-2万/月	3-4年经验	本科
资深运维工程师-IT运维(J10779)	2.5-3万/月	5-7年经验	本科
Openstack运维工程师	1-2万/月	3-4年经验	大专
算法工程师	1.5-2.5万/月	3-4年经验	本科
渗透测试工程师	1.5-3万/月	2年经验	大专
网络运维工程师	1.5-2万/月	5-7年经验	本科
运维工程师	1.5-2万/月	5-7年经验	本科
大数据开发工程师	0.7-1.8万/月	1年经验	本科
软件测试	1-1.5万/月	2年经验	本科
资深信息安全运营岗	2-2.5万/月	5-7年经验	本科
Web前端开发工程师	1-1.5万/月	2年经验	本科
大数据分析和建模工程师	2-2.5万/月	3-4年经验	硕士
系统运维岗(J24432)	1.8-2.5万/月	5-7年经验	本科
中间件运维	0.6-1万/月	1年经验	本科
数据分析师	1-1.5万/月	3-4年经验	本科
测试开发工程师	1.8-3.5万/月	5-7年经验	本科
测试开发工程师（新业务线）	1.5-3万/月	3-4年经验	本科
WEB前端开发工程师（新业务线）	2-3.5万/月	3-4年经验	本科
初级测试工程师（HCM）	1-1.5万/月	2年经验	本科
深度学习框架技术产品经理	2-2.5万/月	3-4年经验	本科
小度云平台部_对话理解及对话管理高级算法工程师	2-4万/月	3-4年经验	本科
小度云平台部_资深对话推荐算法工程师	2.5-5万/月	5-7年经验	本科
小度云平台部_资深开放域聊天对话算法工程师	2.5-5万/月	5-7年经验	本科
小度产品端测试开发工程师	2-4万/月	2年经验	本科
服务端高级测试开发工程师	1-5万/月	2年经验	本科
数据工程师	1-5万/月	2年经验	本科
垂类-B2B业务部_机器学习/数据挖掘工程师	2-4万/月	2年经验	本科
Web前端开发工程师	1.5-3万/月	3-4年经验	本科
医美业务部_大数据研发工程师	2.5-5万/月	2年经验	本科
医美业务部_高级Java研发工程师	2.5-5万/月	2年经验	本科
对话理解及对话管理高级算法工程师	2-5万/月	2年经验	本科
资深对话推荐算法工程师	2-10万/月	5-7年经验	本科
资深开放域聊天对话算法工程师	2-10万/月	5-7年经验	本科
用户数据中心_大数据研发工程师	1.5-3.5万/月	3-4年经验	本科
商业推荐研发部_模型算法工程师	2-2.5万/月	2年经验	本科
商业运营平台部_Java高级研发工程师	2.5-5万/月	2年经验	本科
医美业务部_高级前端研发工程师	2-4万/月	2年经验	本科
商业平台研发部_Java研发工程师	2-4万/月	1年经验	本科
内容工程师（北京）	6-9千/月	在校生/应届生	大专
软件研发和测试技术培训生	1-1.5万/月	在校生/应届生	本科
AMS  Operation Lead	2-2.5万/月	5-7年经验	本科
推荐系统研发	3-4万/月	3-4年经验	硕士
算法平台工程师	3-4万/月	3-4年经验	本科
golang开发工程师	2.5-3万/月	3-4年经验	本科
(高级)自动化测试工程师	3-4万/月	3-4年经验	本科
自动化测试工程师	1-1.5万/月	3-4年经验	本科
Java中级开发工程师	1-1.5万/月	3-4年经验	本科
云计算产品研发（数据库方向）	2-4万/月	5-7年经验	本科
Openstack运维工程师	1.5-2万/月	2年经验	大专
安全运营工程师	1.5-2.5万/月	3-4年经验	本科
安全服务工程师	1.5-3万/月	1年经验	大专
软件工程师（数字轨道）	1-1.5万/月	2年经验	本科
直招联合创始人首席技术官CTO	2-7万/月	10年以上经验	硕士
直招技术负责人-灵活办公时间	2-7万/月	5-7年经验	硕士
大数据运维工程师	1.5-2万/月	3-4年经验	本科
系统运维工程师	1-1.5万/月	3-4年经验	本科
Linux运维工程师	1-1.5万/月	5-7年经验	本科
路径规划算法工程师	1.5-2.5万/月	3-4年经验	硕士
算法工程师	0.8-1.6万/月	2年经验	本科
少儿编程直播课讲师	1-1.5万/月	3-4年经验	本科
网络工程师	1.5-2.5万/月	5-7年经验	本科
前端开发工程师	1-2万/月	3-4年经验	本科
Java中级开发工程师	7-9千/月	1年经验	大专
JAVA中级程序员	6-9千/月	1年经验	大专
数据工程师（北京）	6-9千/月	在校生/应届生	大专
java 开发高级程序员	7-9千/月	3-4年经验	大专
SE，BSE，PG（日语）IT工程师	1.5-3万/月	1年经验	大专
软件开发JAVA/COBOL（日语）	1.5-3万/月	1年经验	大专
自动化测试工程师	2-2.5万/月	5-7年经验	本科
Software Designer	2-2.5万/月	5-7年经验	本科
Test Automation Designer	1.5-2万/月	5-7年经验	本科
研发工程师	1-1.5万/月	3-4年经验	本科
数据仓库工程师	3-4.5万/月	在校生/应届生	本科
搜索算法工程师	3-4.5万/月	在校生/应届生	本科
上位机软件工程师	1.5-2万/月	3-4年经验	本科
运维工程师	1-1.5万/月	3-4年经验	本科
生物信息经理（商检生信开发运营）	1.8-2.5万/月	5-7年经验	硕士
Linux运维工程师	1-1.5万/月	5-7年经验	大专
遥感卫星数据处理算法研发工程师（中级）	1.2-1.5万/月	2年经验	硕士
遥感卫星数据处理算法研发工程师（初级）	0.8-1.1万/月	2年经验	硕士
遥感卫星地面应用系统运行控制软件研发工程师（中级）	1.2-1.5万/月	2年经验	本科
遥感卫星地面应用系统运行控制软件研发工程师（高级）	1.5-1.8万/月	2年经验	本科
气象应用模式工程师	1-2万/月	无需经验	硕士
地理信息系统（GIS）应用及开发	0.8-1.8万/月	3-4年经验	硕士
软件开发工程师	0.8-1.1万/月	2年经验	本科
软件开发工程师（初级）	0.8-1.1万/月	2年经验	本科
软件开发工程师（初级）	0.8-1.1万/月	2年经验	本科
遥感卫星地面应用系统运行控制软件研发工程师（初级）	0.8-1.1万/月	2年经验	本科
遥感数据处理算法研发工程师	0.8-1.5万/月	2年经验	本科
测试	0.6-1.2万/月	2年经验	本科
devops工程师	1.5-2万/月	3-4年经验	大专
数据实施工程师	1-1.5万/月	3-4年经验	本科
数据质量核查	1-1.5万/月	3-4年经验	本科
芯片系统验证工程师	30-70万/年	3-4年经验	本科
高级/资深数字前端验证工程师	40-80万/年	5-7年经验	本科
高级IC验证工程师	1.2-2.4万/月	3-4年经验	本科
高级IC设计工程师	2-3万/月	3-4年经验	本科
测试开发工程师	1.2-2.4万/月	3-4年经验	本科
数值算法高级研发工程师	1.5-2.5万/月	2年经验	硕士
仿真开发与实施工程师	1-1.8万/月	1年经验	硕士
创成式设计工程师	0.8-1.5万/月	2年经验	本科
资深开发工程师	2-3万/月	3-4年经验	本科
科技管理部 应用运维工程师	1-1.5万/月	5-7年经验	本科
科技管理部 数据库运维工程师	1-1.5万/月	5-7年经验	本科
科技管理部 信息安全岗	6-8千/月	无需经验	本科
数据维护	20-25万/年	3-4年经验	本科
数据开发	25-30万/年	3-4年经验	硕士
高级研发工程师	1-1.5万/月	3-4年经验	本科
Java开发工程师（大数据）	15-25万/年	3-4年经验	本科
系统架构师	25-35万/年	5-7年经验	本科
高级产品经理	1-1.5万/月	3-4年经验	本科
经管助理（集成2099）	7-9千/月	在校生/应届生	本科
Java开发工程师(集成2038)	1-1.6万/月	5-7年经验	本科
测试工程师(集成2028)	0.8-1.5万/月	1年经验	本科
网络安全运维工程师(集成2026)	1-1.8万/月	5-7年经验	本科
Linux系统工程师(集成2019)	1-1.2万/月	3-4年经验	本科
助理工程师-应届生岗（C方向）	4-6千/月	在校生/应届生	本科
软件实施工程师（YFZC1zyf）(J11425)	0.7-1.4万/月	2年经验	本科
内容安全策略专家	2-4万/月	5-7年经验	本科
风险策略数据分析专员	0.9-2.1万/月	3-4年经验	本科
高级数据分析师	1-1.5万/月	2年经验	本科
后端开发工程师 Backend developer	1.5-2万/月	5-7年经验	本科
项目开发(LT1sxz)(J12282)	0.7-1.3万/月	2年经验	本科
自动化测试工程师	1.5-2万/月	在校生/应届生	本科
技术美术TA-RD04	3-5万/月	5-7年经验	本科
机器人售前/售后工程师	0.6-1万/月	2年经验	本科
数据分析师（销售管理方向）	1-1.5万/月	1年经验	本科
（高级）SAS程序员	0.8-1.5万/月	1年经验	本科
大数据算法工程师	20-30万/年	3-4年经验	本科
软件工程师	1-2万/月	2年经验	本科
大数据及AI工程师	20-30万/年	无需经验	硕士
算法工程师（视频/图像处理/深度学习方向）	2.5-3.5万/月	3-4年经验	硕士
软件测试工程师-新媒	1.5-2.2万/月	3-4年经验	本科
感知算法工程师	0.9-1.3万/月	1年经验	硕士
路径规划工程师	0.8-1.3万/月	1年经验	硕士
路径规划工程师	0.8-1.3万/月	1年经验	硕士
电液控制系统工程师	0.9-1万/月	1年经验	硕士
多传感器融合工程师	0.8-1.3万/月	1年经验	硕士
前端开发工程师	2.5-5万/月	3-4年经验	本科
高级前端架构师	4-8万/月	5-7年经验	本科
前端架构师(J10561)	4-8万/月	5-7年经验	本科
5G安全研究员(J11915)	2-3万/月	5-7年经验	本科
数据分析师（高级）	2-2.5万/月	8-9年经验	本科
系统工程师（中级）	1-1.5万/月	3-4年经验	本科
安全工程师（高级）	2-2.5万/月	5-7年经验	本科
IT系统工程师	6-8千/月	无需经验	本科
测试工程师（21届秋招 北京）	1-1.5万/月	在校生/应届生	本科
FOF基金经理助理/研究员助理	0.8-1万/月	3-4年经验	硕士
2021校招-算法工程师（北京））(002462)	1.5-2万/月	无需经验	博士
大数据开发工程师 (MJ007503)	2-3.5万/月	3-4年经验	本科
交易员岗	0.7-1.5万/月	3-4年经验	本科
测试岗（YC-BJ-XF）	1.5-2万/月	5-7年经验	大专
中级运维工程师（驻场）	1.5-2万/月	3-4年经验	本科
数据分析师	6-8千/月	在校生/应届生	本科
DBA	2-3万/月	5-7年经验	本科
网络工程师	1.5-2.5万/月	3-4年经验	本科
后台研发工程师	0.8-1.5万/月	3-4年经验	本科
etl数据实施工程师	1-1.5万/月	3-4年经验	本科
信息安全专家 (MJ003929)	4-6万/月	10年以上经验	本科
核算主管	6-8千/月	无需经验	本科
Principal Data Scientist	4-7万/月	5-7年经验	本科
Search Algorithm Engineer	3.5-6.5万/月	5-7年经验	本科
Senior QA Engineer	2-4万/月	5-7年经验	本科
Principal QA Engineer	3-5万/月	8-9年经验	本科
Senior/Principal Security Engineer	3-6万/月	5-7年经验	本科
爬虫开发工程师	1-2万/月	2年经验	本科
资深前端开发工程师	2.5-5万/月	5-7年经验	本科
大数据分析师	2-3万/月	3-4年经验	大专
5G网络安全架构师	3.5-5万/月	10年以上经验	本科
云计算OpenStack运维工程师	1-2万/月	3-4年经验	本科
大数据算法工程师	1-2万/月	3-4年经验	本科
数据库工程师	1.5-2万/月	5-7年经验	本科
自然语言处理工程师（NLP）	1.8-2.5万/月	1年经验	硕士
Web前端开发工程师	1.3-2万/月	3-4年经验	本科
算法工程师（菱歌数字科技）	1.2-1.7万/月	1年经验	大专
AI工程师：	1-2万/月	3-4年经验	本科
图像算法研究员	1.8-3万/月	1年经验	硕士
安全产品技术支持	0.8-1.3万/月	3-4年经验	本科
开源社区顾问	1-1.5万/月	2年经验	本科
Openshift/kubernetes开发工程师	2-2.5万/月	5-7年经验	本科
服务器操作系统研发工程师	1.5-2万/月	3-4年经验	本科
桌面操作系统研发工程师	1-1.5万/月	2年经验	本科
虚拟化工程师	1.5-2万/月	3-4年经验	本科
Mysql DBA	2.5-3万/月	5-7年经验	大专
高级JAVA开发工程师	2-3万/月	3-4年经验	本科
java开发岗（YC-BJ-SZ）	1.5-3万/月	5-7年经验	本科
Web前端开发工程师	1-1.5万/月	3-4年经验	大专
安全运维工程师	1-1.5万/月	3-4年经验	本科
技术经理	2-3万/月	5-7年经验	本科
高级数据分析师	1.5-2.5万/月	5-7年经验	本科
大数据算法工程师	1-2万/月	在校生/应届生	本科
数据分析师	1-2万/月	在校生/应届生	本科
NLP算法工程师	3-5万/月	3-4年经验	硕士
语音算法工程师	3.5-5万/月	3-4年经验	硕士
图像算法工程师	3-5万/月	3-4年经验	硕士
算法工程师	2.5-4万/月	1年经验	本科
图像算法工程师	1.5-3万/月	2年经验	硕士
前端中高级工程师（K12教育）(J10396)	1.5-3万/月	2年经验	本科
java中高级工程师（K12教育）(J10389)	1.5-3万/月	3-4年经验	本科
测试中高级工程师（K12教育）(J10444)	1.5-3万/月	3-4年经验	本科
道路测试工程师（自动驾驶）	1-1.5万/月	2年经验	大专
系统开发工程师	2-2.5万/月	5-7年经验	本科
iOS开发工程师	1-1.5万/月	3-4年经验	本科
路测工程师	1-1.5万/月	2年经验	本科
数据运营专员	0.8-1万/月	3-4年经验	本科
传感器标定工程师	0.8-1万/月	1年经验	本科
C++开发工程师	1-1.5万/月	无需经验	本科
车路协同工程算法工程师	1-1.5万/月	3-4年经验	本科
系统开发工程师（自动驾驶，C++）	1.5-2万/月	2年经验	大专
自动驾驶路测工程师	1-1.5万/月	2年经验	本科
自动驾驶系统功能设计工程师	1.5-2万/月	2年经验	大专
软件实施工程师	6-8千/月	2年经验	大专
系统运维工程师	1.5-2万/月	5-7年经验	本科
K8S运维工程师	2-2.5万/月	5-7年经验	大专
售前工程师（公有云）	2.5-3万/月	5-7年经验	大专
高级DevOps工程师	2-3万/月	5-7年经验	本科
资深测试开发工程师 （云服务方向）	1.5-2.5万/月	5-7年经验	本科
资料科学家	2-4万/月	5-7年经验	硕士
运维工程师	0.5-1.5万/月	2年经验	本科
Web前端开发工程师（985/211）	7-9千/月	1年经验	本科
人工智能讲师	1.5-2.5万/月	3-4年经验	本科
智能控制讲师	1.5-2.2万/月	3-4年经验	本科
Java开发工程师(985/211)	7-9千/月	1年经验	本科
软件工程师(985/211)	6-7千/月	在校生/应届生	本科
云网络弹性负载均衡研发专家/高级研发工程师	2-4万/月	8-9年经验	本科
云网络弹性负载均衡控制面研发专家/高级研发工程师	2-4万/月	8-9年经验	本科
数据工程师	1.5-2.5万/月	5-7年经验	本科
物联网实习生	3-4.5千/月	在校生/应届生	本科
中级云平台运维工程师	0.8-1.2万/月	3-4年经验	大专
云平台运维工程师	6-8千/月	1年经验	大专
测试开发工程师（FBS1wjw）(J11736)	1-1.5万/月	2年经验	本科
测试工程师（SJCJ1sss）(J12030)	0.7-1.4万/月	2年经验	本科
测试工程师（SJCJ1sss）(J12029)	0.7-1.4万/月	2年经验	本科
测试工程师（SJCJ1sss）(J12026)	0.7-1.4万/月	2年经验	本科
科学决策岗（数据分析方向）	15-30万/年	5-7年经验	本科
Bigdata Develper	28-38万/年	5-7年经验	大专
云网络控制面研发专家	2.5-5万/月	8-9年经验	本科
云网络高级JAVA研发工程师	2-4万/月	8-9年经验	本科
云平台测试开发工程师	2-4万/月	5-7年经验	本科
软件测试工程师（FBSwjw）(J10470)	0.8-1.6万/月	2年经验	本科
大数据开发实习生（EPM1kt）(J12154)	1-2万/月	在校生/应届生	本科
Java架构师	2.2-4万/月	5-7年经验	大专
安全系统开发软件工程师-2021应届生招聘(J10204)	1.5-2万/月	在校生/应届生	本科
Android软件工程师-2021应届生招聘(J10205)	1.5-2万/月	在校生/应届生	本科
Linux开发工程师(J10157)	1.5-3万/月	5-7年经验	本科
工业大数据课程教研经理	1.5-2.5万/月	3-4年经验	本科
高级数据分析师	20-30万/年	3-4年经验	本科
量化交易员	0.8-1.5万/月	3-4年经验	本科
交易风控及投后管理专员	1-1.5万/月	1年经验	本科
反作弊后端开发工程师	1-1.5万/月	在校生/应届生	本科
数据分析师	1-1.5万/月	在校生/应届生	本科
大数据运维工程师	1-1.5万/月	3-4年经验	本科
大数据工程师	1.5-2万/月	3-4年经验	本科
监控运维工程师	1-1.5万/月	3-4年经验	本科
数据建模工程师（2021校招锐阳生）	0.6-1万/月	在校生/应届生	本科
推荐算法总监(006749)	3-6万/月	5-7年经验	本科
数据运营/分析	1-2万/月	3-4年经验	本科
前端开发工程师	1-1.5万/月	在校生/应届生	本科
驻场运维工程师	1.5-3万/月	3-4年经验	本科
数据仓库经理（BX1zj）(J11864)	1.5-2.5万/月	3-4年经验	本科
初级测试工程师	1-1.5万/月	2年经验	本科
测试维护工程师(CP1xsc)(J12220)	1.2-1.8万/月	2年经验	本科
急聘 少儿编程老师 -上市集团公司	0.8-1.2万/月	无需经验	本科
软件测试工程师	1-1.5万/月	3-4年经验	本科
图像算法实习生	180元/天	在校生/应届生	本科
高级前端开发工程师	2-2.5万/月	5-7年经验	本科
Web前端开发工程师（985/211）	6-8千/月	在校生/应届生	本科
Java开发工程师(985/211)	6-7千/月	在校生/应届生	本科
软件开发工程师	1.2-1.8万/月	2年经验	本科
Infra—Intern	5-9千/月	在校生/应届生	本科
Map Engine - Intern	5-9千/月	在校生/应届生	本科
软件工程师	2.5-3.5万/月	3-4年经验	本科
网络安全工程师（初级）	1.3-3万/月	2年经验	本科
数据挖掘工程师	2-2.5万/月	5-7年经验	本科
数据分析师	1.5-2万/月	5-7年经验	本科
软件测试工程师（YD-BJ）G00142	1-1.5万/月	3-4年经验	本科
软件开发实习生	2-3千/月	在校生/应届生	本科
自动化测试工程师	1.5-2.2万/月	3-4年经验	本科
外派银行性能测试工程师	1-1.5万/月	3-4年经验	大专
外派银行测试开发工程师	1.1-1.6万/月	5-7年经验	大专
性能测试工程师	0.9-1.2万/月	3-4年经验	本科
智能产品技术研究岗（智能软件研究方向）	1.5-3万/月	5-7年经验	硕士
智能产品技术研究岗（人工智能算法研究方向）	1.5-3万/月	5-7年经验	硕士
mysql DBA 运维工程师	0.6-1万/月	5-7年经验	本科
测试开发	1-1.5万/月	5-7年经验	本科
算法工程师（激光点云）	2-4万/月	5-7年经验	硕士
OpenStack运维工程师	0.8-1.5万/月	2年经验	大专
软件实施工程师	0.6-1万/月	2年经验	大专
Oracle DBA 数据库工程师	1-1.5万/月	2年经验	大专
气象工程师	1.5-3万/月	2年经验	硕士
资深算法工程师	4-6万/月	3-4年经验	博士
高级算法工程师	3-4.5万/月	3-4年经验	硕士
Linux C开发工程师(J10797)	0.9-2万/月	1年经验	本科
资深数据分析师-产品技术中心 (MJ006569)	1-2.5万/月	1年经验	本科
网站运维开发工程师 (MJ007206)	1.5-2.5万/月	2年经验	本科
测试开发工程师 (MJ007329)	1.5-2.5万/月	5-7年经验	本科
Java开发实习生	4.5-6千/月	在校生/应届生	本科
2021-NLP工程师	1-1.5万/月	在校生/应届生	硕士
2021-NLP工程师	1-1.5万/月	在校生/应届生	硕士
2021-算法工程师	1-2万/月	在校生/应届生	硕士
视频开发工程师	1.5-2.5万/月	3-4年经验	本科
算法组研究员	2-3万/月	3-4年经验	硕士
NLP算法组负责人	3.5-5万/月	3-4年经验	博士
数据开发工程师	1-1.2万/月	3-4年经验	本科
算法工程师(GY1wb)(J12188)	0.6-1.2万/月	在校生/应届生	本科
大数据平台架构师	2.5-3万/月	10年以上经验	本科
（2021届校招）云安全开发工程师	0.9-1.5万/月	在校生/应届生	本科
（2021届校招）安全开发工程师	0.8-1.3万/月	在校生/应届生	本科
技术预研工程师	12-20万/年	2年经验	硕士
总部市场研究部市场研究经理	2-2.5万/月	5-7年经验	本科
Openstack运维工程师	0.7-1.2万/月	2年经验	大专
高级Java开发工程师(J11107)	2-2万/月	5-7年经验	本科
应用软件工程师(上位机/数据库)(J10393)	1.5-2万/月	无需经验	本科
数据应用开发岗(J24283)	1.4-2万/月	3-4年经验	本科
应用安全工程师	1-1.5万/月	3-4年经验	本科
系统运维工程师	0.8-1.4万/月	3-4年经验	大专
运维实施工程师	1-1.5万/月	3-4年经验	本科
客服服务中心—高级数据挖掘与分析工程师	2-3万/月	3-4年经验	硕士
客户服务中心-高级数据挖掘与分析工程师(J15274)	2-3万/月	3-4年经验	硕士
搜索算法工程师	3-6万/月	3-4年经验	本科
搜索算法工程师(J10594)	1.5-3.5万/月	2年经验	本科
大数据分析和建模工程师	2-2.5万/月	3-4年经验	硕士
算法工程师(8C51)	1.5-4万/月	3-4年经验	本科
算法工程师(8C51)	1.5-4万/月	3-4年经验	本科
测试系统架构师	1-2.5万/月	8-9年经验	本科
AI算法及引擎测试工程师	1-2万/月	3-4年经验	本科
技术经理	2-3万/月	5-7年经验	本科
数据工程师（应届生）	0.5-1万/月	在校生/应届生	本科
金融产品经理	1.5-2万/月	5-7年经验	本科
软件测试工程师	1-1.5万/月	无需经验	本科
CAD主管工程师1161	2.5-4.5万/月	8-9年经验	本科
IT硬件系统主管1200	2-3万/月	5-7年经验	本科
运维工程师	1.5-1.9万/月	5-7年经验	本科
高级软件测试工程师	1.2-2.5万/月	3-4年经验	本科
PaaS容器云解决方案经理/售前经理	2-2.5万/月	3-4年经验	本科
C++高级开发工程师	2-2.5万/月	3-4年经验	本科
linux C开发工程师	1-1.5万/月	2年经验	本科
安管平台类产品工程师	1-2万/月	2年经验	本科
系统架构师	1.5-2万/月	5-7年经验	本科
高级算法工程师	2.5-3万/月	3-4年经验	硕士
JAVA/C++/web前端开发（实习）	6-7千/月	在校生/应届生	本科
网络安全培训讲师	1-1.5万/月	无需经验	本科
高级开发工程师	1.5-2万/月	1年经验	本科
（校招）媒体服务器研发	0.5-1万/月	在校生/应届生	本科
（校招）边缘计算开发工程师	0.5-1万/月	在校生/应届生	本科
JavaScript前端工程师	1.5-2.5万/月	3-4年经验	本科
Java开发工程师	0.5-1万/月	2年经验	本科
Java开发工程师	0.5-1万/月	2年经验	本科
媒体服务器研发	1-1.1万/月	5-7年经验	本科
web前后端研发工程师	1-1.5万/月	3-4年经验	本科
（校招）AI算法工程师（图像、视频方向）	0.5-1万/月	在校生/应届生	本科
（校招）数据仓库工程师	0.5-1万/月	在校生/应届生	本科
（校招）数据分析师	0.5-1万/月	在校生/应届生	本科
（校招）算法研发工程师	0.5-1万/月	在校生/应届生	本科
大数据开发工程师	1.5-2.5万/月	5-7年经验	本科
数据分析师	2-3.5万/月	5-7年经验	硕士
系统架构师	2.5-4万/月	5-7年经验	硕士
系统架构师	2.5-4万/月	5-7年经验	本科
高级运维工程师 (MJ001734)	2-4万/月	5-7年经验	本科
测试架构师 (MJ001819)	3-5万/月	5-7年经验	本科
资深架构师 (MJ001813)	3-6万/月	5-7年经验	本科
技术架构师 (MJ001803)	3-5万/月	5-7年经验	本科
Java高级开发工程师 (MJ001839)	3-4万/月	5-7年经验	本科
NLP专家 (MJ001824)	5-7万/月	5-7年经验	硕士
AI资深研究员-GAN（生成式对抗网络方向 (MJ002060)	4-7万/月	5-7年经验	硕士
高级算法工程师 (MJ002134)	2-4万/月	5-7年经验	硕士
监控平台开发工程师 (MJ001889)	1.5-3万/月	3-4年经验	本科
数据开发工程师 (MJ001888)	2-3万/月	3-4年经验	本科
三维重建算法工程师 (MJ002314)	2-4万/月	5-7年经验	硕士
安全专家 (MJ001890)	2.5-4万/月	10年以上经验	本科
高级测试开发工程师 (MJ002483)	1.5-2.5万/月	5-7年经验	本科
go语言高级开发工程师 (MJ002011)	2.5-3.5万/月	3-4年经验	本科
Java架构师 (MJ002839)	3-5万/月	5-7年经验	本科
AI算法工程师 (MJ002672)	40-45万/年	3-4年经验	硕士
技术架构师 (MJ002954)	3-5万/月	5-7年经验	本科
